StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q31,Q36_1,Q4,Q5,Q8,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q9,Q10,Q17,Q11,Q7,Q12,Q14,Q15,Q32,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q34,Q35
2023-11-27 12:36:29,2023-11-27 12:39:58,IP Address,174.69.21.91,100,209,True,2023-11-27 12:39:59,R_1P6JHmJrKyijl7e,,,,,30.4462,-87.2624,anonymous,EN,I agree to participate.,Yes,Escambia,"My circumstances changed, and I no longer needed childcare for my child(ren).",,Other,1,2,3,4,5,6,"4 children  ","$75-100 ",Less than 1 year-old,"My other children’s school  ","Personal motor vehicle ",Less than 5 minutes,6,6,5,Single,"English ",Very well,"$30,000 to $39,000  ","High school graduate or GED completed ","Employed full-time ",No,Not Hispanic or Latino,White
2023-11-27 12:46:24,2023-11-27 12:46:42,IP Address,72.219.213.196,100,17,True,2023-11-27 12:46:42,R_YWDjYzysV3zDNZv,,,,,29.7005,-82.308,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 13:34:25,2023-11-27 13:35:26,IP Address,173.160.0.157,100,61,True,2023-11-27 13:35:27,R_2wbgWOjUQzjj1Hy,,,,,26.1331,-81.7938,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 13:37:30,2023-11-27 13:37:59,IP Address,97.79.31.154,100,29,True,2023-11-27 13:38:00,R_W7jNdcKwMNM4bPX,,,,,28.0109,-82.4948,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 13:47:39,2023-11-27 13:51:35,IP Address,108.189.101.57,100,236,True,2023-11-27 13:51:36,R_2U3CMj8AhmGNpuk,,,,,28.0699,-81.8107,anonymous,EN,I agree to participate.,Yes,Polk,I had trouble finding a provider that met my needs.,,I did not experience any challenges.,6,2,3,1,4,5,"1 child ","$50-75 ",Not Applicable,"Work  ","Personal motor vehicle ",10 to 20 minutes,7:30,6,4,"Divorced/Separated ","English ",Very well,"$15,000 to 19,000 ","8th grade or less ","Employed full-time ",No,Not Hispanic or Latino,White
2023-11-27 14:06:13,2023-11-27 14:06:30,IP Address,174.203.68.223,100,16,True,2023-11-27 14:06:30,R_z7mXmecMQRirgzv,,,,,30.4509,-91.1563,anonymous,EN,I do not wish to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 14:34:37,2023-11-27 14:35:08,IP Address,35.145.88.199,100,31,True,2023-11-27 14:35:09,R_3sudQh94qIThPNc,,,,,29.2007,-81.0388,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 14:34:13,2023-11-27 14:35:56,IP Address,97.101.150.165,100,103,True,2023-11-27 14:35:57,R_7ZK1yx1c40aZrup,,,,,29.0508,-81.2845,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 14:35:26,2023-11-27 14:39:17,IP Address,35.145.88.199,100,230,True,2023-11-27 14:39:17,R_2pQXmcZzyGcpfQz,,,,,29.2007,-81.0388,anonymous,EN,I agree to participate.,Yes,Monroe,I had trouble finding a provider that met my needs.,I moved.,Other,4,3,2,1,5,6,"1 child ","$0-25 ","2-year-old ","Home  ","Personal motor vehicle ",Less than 5 minutes,6,6,3,"Divorced/Separated ","English ",Very well,"Less than $14,000 ","High school graduate or GED completed ","Employed part-time ",No,Not Hispanic or Latino,Black or African American
2023-11-27 14:40:05,2023-11-27 14:40:11,IP Address,107.115.112.57,100,6,True,2023-11-27 14:40:12,R_1Nh2nJ2HExUCI4K,,,,,37.751,-97.822,anonymous,EN,I do not wish to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 14:39:51,2023-11-27 14:40:31,IP Address,173.168.128.242,100,39,True,2023-11-27 14:40:31,R_3EZ6cDgknbJ10cH,,,,,27.9929,-82.403,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 14:47:16,2023-11-27 14:53:57,IP Address,107.127.32.46,100,400,True,2023-11-27 14:53:57,R_2uHUqnJyaNChd8p,,,,,28.6344,-81.6221,anonymous,EN,I agree to participate.,Yes,Hillsborough,I had trouble finding a provider that met my needs.,,Other,1,2,3,4,5,6,"2 children  ","$0-25 ","2-year-old ,4-year-old ","Home  ","Personal motor vehicle ",5 to 10 minutes,8am,4pm,5,Single,"English ",Very well,"Less than $14,000 ","9th-12th grade (no high school diploma) ","Homemaking (not paid) ",No,Not Hispanic or Latino,Asian
2023-11-27 14:53:12,2023-11-27 14:56:16,IP Address,73.125.57.156,100,184,True,2023-11-27 14:56:17,R_u4zDjydvTzOqIj7,,,,,26.1167,-80.1286,anonymous,EN,I agree to participate.,Yes,Broward,I had trouble finding a provider that met my needs.,Other,Available providers were not conveniently located.,1,2,3,4,5,6,"4 children  ","$0-25 ","3-year-old ,4-year-old ,5-year-old ,6-years-old or older  ","Home  ","Walking ",5 to 10 minutes,24 hours,24 hours,6+,Single,"English ",Very well,"Less than $14,000 ","High school graduate or GED completed ","Seeking job opportunities ",No,Not Hispanic or Latino,Other
2023-11-27 14:49:48,2023-11-27 14:57:34,IP Address,96.85.171.22,100,466,True,2023-11-27 14:57:35,R_WAKYkGLYL0mUiVb,,,,,26.782,-80.0653,anonymous,EN,I agree to participate.,Yes,Palm Beach,I had trouble finding a provider that met my needs.,,I could not find a provider with openings to serve my child/children.,3,4,1,5,2,6,"2 children  ","$0-25 ","6-years-old or older  ","Home  ","Personal motor vehicle ",5 to 10 minutes,7:30,6:30,3,"Divorced/Separated ","English ",Very well,"$15,000 to 19,000 ","High school graduate or GED completed ","Employed full-time ",No,Hispanic or Latino,White
2023-11-27 15:32:20,2023-11-27 15:32:38,IP Address,107.127.28.6,100,17,True,2023-11-27 15:32:38,R_1Q6m9pEhiobUxIU,,,,,28.3939,-81.4216,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 15:55:54,2023-11-27 15:56:13,IP Address,50.30.194.190,100,18,True,2023-11-27 15:56:13,R_2VdxxRjtojdcW7y,,,,,30.4274,-84.258,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 16:11:27,2023-11-27 16:17:50,IP Address,166.205.159.63,100,383,True,2023-11-27 16:17:51,R_1mCKcJVYXgojmAg,,,,,25.8119,-80.2318,anonymous,EN,I agree to participate.,Yes,Palm Beach,I had trouble finding a provider that met my needs.,,I did not experience any challenges.,1,4,3,6,2,5,"3 children  ","$0-25 ",Not Applicable,"Home  ","Personal motor vehicle ",Less than 5 minutes,0 hours,3 hours,5,"Married ","English ",Very well,"Less than $14,000 ","Some college credit but no degree ","Prefer not to say ",No,Not Hispanic or Latino,Black or African American
2023-11-27 16:17:54,2023-11-27 16:18:10,IP Address,67.158.151.109,100,15,True,2023-11-27 16:18:10,R_30eCMXxV7dnY8c3,,,,,30.173,-83.6148,anonymous,EN,I do not wish to participate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 16:24:33,2023-11-27 16:25:09,IP Address,72.216.58.72,100,36,True,2023-11-27 16:25:10,R_2rZx7UwATUOsgbo,,,,,30.4062,-87.2182,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 16:25:37,2023-11-27 16:30:48,IP Address,172.56.79.21,100,310,True,2023-11-27 16:30:49,R_1KvgyObLjbPBdrq,,,,,28.5177,-81.4508,anonymous,EN,I agree to participate.,Yes,Polk,I had trouble finding a provider that met my needs.,,I could not find a provider with openings to serve my child/children.,3,1,2,6,4,5,"1 child ","$75-100 ","4-year-old ","Work  ","Personal motor vehicle ",10 to 20 minutes,7,6:30,3,Single,"English ",Very well,"$30,000 to $39,000  ","Associate degree (AA, AS) ","Seeking job opportunities ",Yes,Not Hispanic or Latino,Black or African American
2023-11-27 16:33:52,2023-11-27 16:46:03,IP Address,172.56.96.79,100,730,True,2023-11-27 16:46:03,R_1GHswDp7MLAceHO,,,,,27.959,-82.4938,anonymous,EN,I agree to participate.,Yes,Hillsborough,I had trouble finding a provider that met my needs.,,I could not find a provider with openings to serve my child/children.,4,3,1,2,5,6,"1 child ","$100-150 ","1-year-old ","Home  ","Paid rideshare (for example: Uber, Lyft, etc.)",5 to 10 minutes,I have weird work hours,I have weird work hours,3,Living with partner in same household,"English ",Very well,"Prefer not to answer ","Associate degree (AA, AS) ","Employed part-time ",No,Not Hispanic or Latino,White
2023-11-27 17:02:03,2023-11-27 17:02:30,IP Address,172.56.67.41,100,27,True,2023-11-27 17:02:31,R_3m4PulZ3zy2Dwq3,,,,,33.7485,-84.3871,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 17:02:48,2023-11-27 17:06:46,IP Address,76.109.180.251,100,238,True,2023-11-27 17:06:47,R_2zd8wjTNmaRXXZE,,,,,26.455,-80.1076,anonymous,EN,I agree to participate.,Yes,Palm Beach,I wanted to stay at my current childcare provider who did not participate in the Florida School Readiness program (ELC voucher/subsidy).,Other,Other,1,2,3,4,5,6,"1 child ","$25-50 ","2-year-old ","Home  ","Bus or other public transportation ",5 to 10 minutes,6:00,5:30,1,Single,"English ",Very well,"Less than $14,000 ","High school graduate or GED completed ","Prefer not to say ",No,Not Hispanic or Latino,Black or African American
2023-11-27 17:23:56,2023-11-27 17:24:16,IP Address,173.170.91.212,100,19,True,2023-11-27 17:24:16,R_w7C7Bx7bmBgsDXr,,,,,27.543,-82.5602,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 17:32:41,2023-11-27 17:33:18,IP Address,68.204.130.119,100,36,True,2023-11-27 17:33:18,R_06V10q6u6FOo2A1,,,,,29.1565,-82.2095,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 18:38:59,2023-11-27 18:39:22,IP Address,104.28.32.208,100,22,True,2023-11-27 18:39:23,R_3GfBUs7ZqTF5EP4,,,,,29.6436,-82.3231,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 18:39:30,2023-11-27 18:42:40,IP Address,104.28.32.208,100,189,True,2023-11-27 18:42:40,R_3qXd4jMtbVQfbYb,,,,,29.6436,-82.3231,anonymous,EN,I agree to participate.,Yes,Marion,I had trouble finding a provider that met my needs.,,Other,1,2,3,5,4,6,"2 children  ","$25-50 ","2-year-old ,6-years-old or older  ","My other children’s school  ","Personal motor vehicle ",5 to 10 minutes,6:30,4,4,Living with partner in same household,"English ",Very well,"$15,000 to 19,000 ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-27 19:33:35,2023-11-27 19:34:14,IP Address,172.56.96.13,100,38,True,2023-11-27 19:34:14,R_piciEReQ9FeQZ8Z,,,,,27.959,-82.4938,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 20:17:07,2023-11-27 20:17:53,IP Address,73.244.160.192,100,46,True,2023-11-27 20:17:54,R_bHM7p1WtN5h3DMJ,,,,,26.6598,-80.2429,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27 20:43:47,2023-11-27 20:50:16,IP Address,71.46.236.67,100,388,True,2023-11-27 20:50:16,R_2V2vxRXHlb7vJiG,,,,,28.0206,-82.4574,anonymous,EN,I agree to participate.,Yes,Marion,I had trouble finding a provider that met my needs.,I was no longer eligible for the Florida School Readiness program (ELC voucher/subsidy).,Other,5,4,2,3,1,6,"2 children  ","$50-75 ","Less than 1 year-old,5-year-old ","Work  ","Personal motor vehicle ",5 to 10 minutes,7,8,3,Single,"English ",Very well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed full-time ",No,Hispanic or Latino,White
2023-11-28 03:24:31,2023-11-28 03:24:50,IP Address,107.139.210.155,100,18,True,2023-11-28 03:24:50,R_2DP64VJacqvYLLZ,,,,,29.9983,-81.7647,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28 06:15:56,2023-11-28 06:20:02,IP Address,4.71.27.18,100,245,True,2023-11-28 06:20:02,R_12hWBGN0UALTjyB,,,,,35.9746,-83.9052,anonymous,EN,I agree to participate.,Yes,Seminole,I had trouble finding a provider that met my needs.,,Available providers were not conveniently located.,4,1,3,5,2,6,"2 children  ","$0-25 ","3-year-old ,5-year-old ","Home  ","Personal motor vehicle ",10 to 20 minutes,6,6,4,Living with partner in same household,"English ",Very well,"$20,000 to 29,000 ","Some college credit but no degree ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-28 06:41:00,2023-11-28 06:41:11,IP Address,107.122.109.61,100,11,True,2023-11-28 06:41:12,R_1jpS8LrcEvVPDKx,,,,,33.8206,-84.0229,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28 07:06:55,2023-11-28 07:11:09,IP Address,97.102.200.126,100,253,True,2023-11-28 07:11:09,R_YXKhXk72QVPWfx7,,,,,28.0366,-80.5808,anonymous,EN,I agree to participate.,Yes,Brevard,I had trouble finding a provider that met my needs.,I decided to stay home with my child.,Available providers were too expensive.,1,3,4,5,2,6,"2 children  ","$0-25 ","Less than 1 year-old,4-year-old ","Home  ","Carpool with friends, family, or coworkers  ",5 to 10 minutes,8am,1pm,4,Living with partner in same household,"English ",Very well,"Prefer not to answer ","High school graduate or GED completed ","Prefer not to say ",No,Hispanic or Latino,White
2023-11-28 08:18:44,2023-11-28 08:19:19,IP Address,174.211.171.111,100,34,True,2023-11-28 08:19:20,R_skdLuL9IPhfxnj3,,,,,27.96,-82.4614,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28 08:18:54,2023-11-28 08:22:44,IP Address,98.56.94.12,100,230,True,2023-11-28 08:22:45,R_2wmGbnwwoglMVWN,,,,,27.3269,-82.5433,anonymous,EN,I agree to participate.,Yes,Manatee,I had trouble finding a provider that met my needs.,,"Available providers were too expensive.,Available providers were not high quality.,None of the available providers were a good fit for my needs.,I did not feel comfortable with any available providers.",2,3,1,4,5,6,"2 children  ","$100-150 ","1-year-old ","Home  ","Personal motor vehicle ",5 to 10 minutes,7,4,4,Living with partner in same household,"English ",Very well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed part-time ",Yes,Hispanic or Latino,White
2023-11-28 10:48:13,2023-11-28 10:48:39,IP Address,35.141.204.113,100,25,True,2023-11-28 10:48:40,R_W1fznTQjG1UhW37,,,,,27.8044,-82.2759,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28 14:18:16,2023-11-28 14:18:40,IP Address,172.59.65.231,100,24,True,2023-11-28 14:18:40,R_2wgddjfDqtTdNRF,,,,,30.3478,-81.6493,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28 15:04:06,2023-11-28 15:08:50,IP Address,98.56.92.92,100,284,True,2023-11-28 15:08:50,R_1zEmumQ2xZfWhix,,,,,27.5984,-81.4988,anonymous,EN,I agree to participate.,Yes,Highlands,I had trouble finding a provider that met my needs.,Other,Other,6,2,3,1,4,5,"1 child ","$0-25 ","6-years-old or older  ","Home  ","Bus or other public transportation ",5 to 10 minutes,8,6,4,Single,"English ",Very well,"Less than $14,000 ","9th-12th grade (no high school diploma) ","Employed full-time ",No,Not Hispanic or Latino,Black or African American
2023-11-28 18:18:06,2023-11-28 18:19:18,IP Address,174.212.32.200,100,71,True,2023-11-28 18:19:19,R_O0FdTZwOslAUxJT,,,,,28.6225,-81.4317,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28 18:36:04,2023-11-28 18:36:34,IP Address,98.53.20.228,100,29,True,2023-11-28 18:36:35,R_UDVrHF1OVsxFd3b,,,,,26.7457,-80.0722,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28 18:32:50,2023-11-28 18:37:43,IP Address,69.222.121.65,100,292,True,2023-11-28 18:37:43,R_3iQqQEKXc5H9btZ,,,,,30.0955,-81.7198,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 02:06:29,2023-11-29 02:12:14,IP Address,73.105.95.59,100,345,True,2023-11-29 02:12:15,R_1oAwK7BbjajMmyF,,,,,30.3122,-81.7243,anonymous,EN,I agree to participate.,Yes,Clay,I had trouble finding a provider that met my needs.,,I could not find a provider with openings to serve my child/children.,5,4,3,1,2,6,"3 children  ","$25-50 ","3-year-old ","Home  ","Personal motor vehicle ",20 to 30 minutes,6am,10pm,5,Single,"English ",Very well,"$20,000 to 29,000 ","Some college credit but no degree ","Employed part-time ",Yes,Not Hispanic or Latino,Black or African American
2023-11-29 03:44:47,2023-11-29 03:54:44,IP Address,73.205.193.22,100,596,True,2023-11-29 03:54:44,R_5vFuiCpdFomQ3VD,,,,,25.8132,-80.1862,anonymous,EN,I agree to participate.,Yes,Miami-Dade,I wanted to stay at my current childcare provider who did not participate in the Florida School Readiness program (ELC voucher/subsidy).,Other,I could not find a provider with openings to serve my child/children.,1,4,2,5,3,6,"1 child ","$25-50 ","5-year-old ,6-years-old or older  ","Other location ","Personal motor vehicle ",Less than 5 minutes,7:00,6:30P,2,Single,"English ",Well,"$30,000 to $39,000  ","Some college credit but no degree ","Employed part-time ",No,Not Hispanic or Latino,Black or African American
2023-11-29 10:41:59,2023-11-29 10:42:32,IP Address,65.32.165.110,100,33,True,2023-11-29 10:42:32,R_yybMetHESVCFHKV,,,,,27.9032,-82.2911,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 10:42:29,2023-11-29 10:42:44,IP Address,35.145.73.139,100,14,True,2023-11-29 10:42:44,R_3fUwSxjfjHbYpSI,,,,,29.0508,-81.2845,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 10:44:31,2023-11-29 10:45:14,IP Address,172.59.104.26,100,43,True,2023-11-29 10:45:15,R_1hzPmMVHSilWxGP,,,,,30.0035,-90.0607,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 10:42:28,2023-11-29 10:46:22,IP Address,76.123.92.146,100,234,True,2023-11-29 10:46:23,R_2w0w2v1SI5CII6Y,,,,,26.9901,-82.0947,anonymous,EN,I agree to participate.,Yes,Charlotte,I had trouble finding a provider that met my needs.,,I could not find a provider with openings to serve my child/children.,5,2,1,4,3,6,"2 children  ","$25-50 ","6-years-old or older  ","Other location ","Personal motor vehicle ",Less than 5 minutes,7,6,3,Single,"English ",Very well,"$15,000 to 19,000 ","Associate degree (AA, AS) ","Employed part-time ",Yes,Not Hispanic or Latino,White
2023-11-29 10:46:37,2023-11-29 10:46:53,IP Address,166.205.159.56,100,16,True,2023-11-29 10:46:54,R_Zn9kL2rcXCHF0Bz,,,,,25.8119,-80.2318,anonymous,EN,I agree to participate.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
